INCY,05/05/2020
RL,27/05/2020
ROST,21/05/2020
ATH,08/05/2020
COTY,11/05/2020
HHC,11/05/2020
MGM,30/04/2020
COF,23/04/2020
CRI,05/05/2020
WYND,06/05/2020
BG,06/05/2020
FL,22/05/2020
TJX,21/05/2020
GPS,04/06/2020
WYNN,06/05/2020
CACC,27/05/2020
BURL,28/05/2020
MKL,28/04/2020
CLR,11/05/2020
CFR,30/04/2020
ALLY,20/04/2020
ADT,07/05/2020
CMA,21/04/2020
UMPQ,22/04/2020
SBAC,05/05/2020
DKS,02/06/2020
SATS,07/05/2020
F,28/04/2020
LBRDK,01/05/2020
DFS,22/04/2020
SQ,06/05/2020
HP,30/04/2020
VICI,30/04/2020
STL,27/04/2020
WFC,14/04/2020
MTCH,06/05/2020
ZION,20/04/2020
NCLH,14/05/2020
CVNA,06/05/2020
AIG,04/05/2020
ADS,23/04/2020
OZK,23/04/2020
JWN,28/05/2020
RCL,20/05/2020
RNR,06/05/2020
ZNGA,06/05/2020
UAA,11/05/2020
KSS,19/05/2020
FHN,21/04/2020
DISH,07/05/2020
HBAN,23/04/2020
BPOP,30/04/2020
NVST,12/05/2020
INVH,06/05/2020
MAR,11/05/2020
TPR,30/04/2020
CPRI,01/07/2020
R,29/04/2020
PNFP,20/04/2020
PII,28/04/2020
FWONK,07/05/2020
COLD,07/05/2020
PACW,21/04/2020
PLNT,05/05/2020
CFG,17/04/2020
HBI,30/04/2020
JPM,14/04/2020
OMF,27/04/2020
XRX,28/04/2020
OLN,29/04/2020
TIF,09/06/2020
LII,20/04/2020
PODD,07/05/2020
Y,05/05/2020
FLS,07/05/2020
EXPE,20/05/2020
RGA,05/05/2020
ELAN,07/05/2020
ETSY,06/05/2020
AAP,19/05/2020
FITB,21/04/2020
TRIP,07/05/2020
LB,20/05/2020
IVZ,23/04/2020
LYV,07/05/2020
XYL,05/05/2020
BRKR,06/05/2020
TSN,04/05/2020
JLL,05/05/2020
MAT,05/05/2020
ON,09/05/2020
VST,05/05/2020
UHS,27/04/2020
SNV,24/04/2020
JAZZ,05/05/2020
ALGN,29/04/2020
BOKF,22/04/2020
CNA,04/05/2020
POST,07/05/2020
SCCO,27/04/2020
DIS,05/05/2020
CHTR,01/05/2020
GMED,07/05/2020
QRTEA,06/05/2020
MLM,05/05/2020
EEFT,28/04/2020
NRG,07/05/2020
ERIE,07/05/2020
BKNG,07/05/2020
SYF,21/04/2020
AYX,06/05/2020
PINS,05/05/2020
EOG,07/05/2020
SAM,22/04/2020
APO,01/05/2020
ACAD,07/05/2020
TXT,30/04/2020
CINF,27/04/2020
MRO,06/05/2020
AAL,30/04/2020
TNDM,30/04/2020
KEYS,26/05/2020
CCL,03/04/2020
TRN,29/04/2020
AMZN,30/04/2020
RF,17/04/2020
IART,07/05/2020
MOS,04/05/2020
SRCL,07/05/2020
SWCH,08/05/2020
CHRW,28/04/2020
EAF,06/05/2020
WAT,28/04/2020
PRU,05/05/2020
EIX,30/04/2020
WSO,23/04/2020
GPC,06/05/2020
AEE,11/05/2020
SIVB,23/04/2020
FHB,24/04/2020
GE,29/04/2020
JBL,13/03/2020
LW,01/04/2020
CNC,28/04/2020
BSX,29/04/2020
SYY,05/05/2020
ACGL,04/05/2020
PCAR,21/04/2020
TDOC,29/04/2020
SBNY,23/04/2020
SEDG,06/05/2020
ADPT,12/05/2020
GGG,22/04/2020
STNE,26/05/2020
XLRN,11/05/2020
IR,12/05/2020
ARW,30/04/2020
CBSH,28/04/2020
PYPL,06/05/2020
WEX,07/05/2020
PTON,06/05/2020
HCA,21/04/2020
SLM,22/04/2020
ST,29/04/2020
TXG,11/05/2020
WEN,06/05/2020
WDC,30/04/2020
AES,07/05/2020
CPRT,20/05/2020
PCG,01/05/2020
CAT,28/04/2020
TRV,21/04/2020
AL,07/05/2020
JNPR,28/04/2020
HD,19/05/2020
MCD,30/04/2020
MS,16/04/2020
LSTR,22/04/2020
ROL,29/04/2020
NEM,05/05/2020
PPL,08/05/2020
DTE,28/04/2020
APH,22/04/2020
CR,27/04/2020
DLB,04/05/2020
AEP,06/05/2020
LAZ,30/04/2020
SEIC,23/04/2020
WDAY,27/05/2020
ED,07/05/2020
SCHW,15/04/2020
XPO,04/05/2020
AOS,05/05/2020
DUK,12/05/2020
JBHT,14/04/2020
HAE,05/05/2020
SNA,21/04/2020
FDX,17/03/2020
HII,07/05/2020
EQH,07/05/2020
EXAS,06/05/2020
GOOG,28/04/2020
GOOGL,28/04/2020
NI,06/05/2020
XEL,07/05/2020
NOC,29/04/2020
UPS,28/04/2020
BAC,15/04/2020
SWI,30/04/2020
HRL,21/05/2020
HXL,20/04/2020
SCI,29/04/2020
FCN,30/04/2020
HSY,23/04/2020
BR,08/05/2020
CAG,31/03/2020
GWW,23/04/2020
LDOS,05/05/2020
OXY,05/05/2020
IOVA,05/05/2020
AWI,27/04/2020
NLSN,30/04/2020
PFG,27/04/2020
IPHI,07/05/2020
NCR,30/04/2020
QGEN,06/05/2020
WRB,21/04/2020
GNTX,24/04/2020
CACI,29/04/2020
JBLU,07/05/2020
NFLX,21/04/2020
RHI,23/04/2020
AMAT,14/05/2020
AYI,02/04/2020
UNM,04/05/2020
WAB,04/05/2020
UDR,06/05/2020
HAS,29/04/2020
MDT,21/05/2020
BLK,16/04/2020
GD,29/04/2020
DISCA,06/05/2020
FB,29/04/2020
AXS,04/05/2020
LRCX,22/04/2020
ANTM,29/04/2020
D,05/05/2020
MIC,05/05/2020
PPG,27/04/2020
TYL,29/04/2020
MHK,04/05/2020
AON,01/05/2020
APD,23/04/2020
MOH,30/04/2020
ADP,29/04/2020
AMD,28/04/2020
ARD,23/04/2020
ASH,05/05/2020
AXTA,05/05/2020
CDW,06/05/2020
CXO,30/04/2020
EHC,28/04/2020
ES,06/05/2020
FISV,07/05/2020
FLIR,06/05/2020
GL,22/04/2020
H,06/05/2020
KKR,06/05/2020
KMI,22/04/2020
LECO,27/04/2020
NATI,30/04/2020
NFG,30/04/2020
NLY,29/04/2020
ODFL,23/04/2020
PAG,06/05/2020
