PEG,04/05/2020
PWR,07/05/2020
SWKS,04/05/2020
T,22/04/2020
WM,06/05/2020
YUM,29/04/2020
ZBRA,28/04/2020
INTU,21/05/2020
ATO,06/05/2020
MTD,07/05/2020
AMG,27/04/2020
FIS,07/05/2020
HIG,29/04/2020
PRAH,30/04/2020
DRI,19/03/2020
MPWR,28/04/2020
NUE,28/04/2020
ORCL,12/03/2020
TROW,28/04/2020
VAR,04/05/2020
DD,05/05/2020
IFF,11/05/2020
AGR,28/04/2020
IQV,28/04/2020
PINC,05/05/2020
COST,05/03/2020
TSCO,23/04/2020
GLOB,14/05/2020
AFG,11/05/2020
BLL,07/05/2020
FMC,05/05/2020
AGNC,29/04/2020
DOW,30/04/2020
SHW,29/04/2020
DOX,07/05/2020
CTLT,05/05/2020
LOPE,07/05/2020
MSM,08/04/2020
EPAM,07/05/2020
PAYX,25/03/2020
ADBE,12/03/2020
CHE,28/04/2020
UNH,15/04/2020
EXC,08/05/2020
RP,06/05/2020
STLD,20/04/2020
EVRG,06/05/2020
LEG,04/05/2020
CB,21/04/2020
GIS,18/03/2020
RSG,05/05/2020
SKX,23/04/2020
VRSK,05/05/2020
XLNX,22/04/2020
CFX,07/05/2020
CL,01/05/2020
ENR,07/05/2020
FTV,30/04/2020
ADI,20/05/2020
ETN,30/04/2020
ORLY,22/04/2020
CMCSA,30/04/2020
FAST,14/04/2020
IBKR,21/04/2020
V,30/04/2020
AWK,06/05/2020
FE,23/04/2020
IEX,23/04/2020
FDS,26/03/2020
LIN,07/05/2020
SBUX,28/04/2020
VZ,24/04/2020
IBM,20/04/2020
NDAQ,22/04/2020
ITW,05/05/2020
PRI,29/04/2020
ACM,05/05/2020
MKTX,29/04/2020
OKE,28/04/2020
TKR,01/05/2020
CW,06/05/2020
SNX,24/03/2020
GPN,06/05/2020
EBAY,29/04/2020
ICE,30/04/2020
UGI,06/05/2020
WMB,04/05/2020
ABMD,30/04/2020
ARMK,05/05/2020
CLGX,30/04/2020
MCK,20/05/2020
BAH,26/05/2020
ROKU,07/05/2020
AKAM,28/04/2020
AZO,03/03/2020
CTSH,07/05/2020
BKI,05/05/2020
CME,29/04/2020
EXPD,05/05/2020
GRA,30/04/2020
PG,17/04/2020
STE,13/05/2020
CE,27/04/2020
PRGO,30/04/2020
INFO,24/03/2020
IDXX,30/04/2020
MKC,31/03/2020
WBA,02/04/2020
XRAY,08/05/2020
ADSK,27/05/2020
PEP,28/04/2020
DHR,06/05/2020
AJG,30/04/2020
KLAC,05/05/2020
LNC,06/05/2020
MMC,30/04/2020
ABC,07/05/2020
K,30/04/2020
TMO,22/04/2020
MRNA,07/05/2020
HOLX,29/04/2020
LMT,21/04/2020
PAYC,28/04/2020
RNG,06/05/2020
ATR,30/04/2020
CI,30/04/2020
ECL,28/04/2020
IAA,06/05/2020
PHM,23/04/2020
TW,20/04/2020
CERN,28/04/2020
ISRG,16/04/2020
KMB,22/04/2020
OSK,29/04/2020
MDLZ,28/04/2020
SWK,30/04/2020
AME,05/05/2020
EWBC,23/04/2020
GILD,30/04/2020
WLTW,30/04/2020
ANSS,06/05/2020
MA,29/04/2020
MCHP,07/05/2020
NVDA,21/05/2020
ABBV,01/05/2020
CREE,29/04/2020
CTAS,19/03/2020
MMM,28/04/2020
NTRS,21/04/2020
RE,06/05/2020
CSGP,28/04/2020
MXIM,28/04/2020
NVR,23/04/2020
PM,21/04/2020
ROP,28/04/2020
CBOE,01/05/2020
CBRE,07/05/2020
OC,29/04/2020
LHX,05/05/2020
OMC,28/04/2020
WMT,19/05/2020
AIZ,05/05/2020
TRU,28/04/2020
WU,05/05/2020
KDP,27/04/2020
KHC,30/04/2020
BLUE,11/05/2020
COG,30/04/2020
HES,07/05/2020
ENTG,21/04/2020
MRK,28/04/2020
ZTS,06/05/2020
DNKN,30/04/2020
WHR,30/04/2020
ITT,01/05/2020
AMED,06/05/2020
CDK,05/05/2020
FLT,07/05/2020
GRMN,29/04/2020
MNST,07/05/2020
SO,30/04/2020
WBS,21/04/2020
WEC,04/05/2020
CBT,11/05/2020
SSNC,30/04/2020
EFX,20/04/2020
TDY,22/04/2020
HUBB,30/04/2020
CSX,22/04/2020
SYK,30/04/2020
MET,06/05/2020
AFL,29/04/2020
IONS,06/05/2020
NEE,22/04/2020
PPD,06/05/2020
USFD,05/05/2020
WTRG,06/05/2020
CHD,30/04/2020
POOL,23/04/2020
NOW,29/04/2020
W,05/05/2020
SYNH,30/04/2020
CSCO,13/05/2020
CLX,01/05/2020
FANG,04/05/2020
GS,15/04/2020
SIX,30/04/2020
TREE,05/05/2020
TWTR,30/04/2020
MASI,28/04/2020
MSFT,29/04/2020
BC,30/04/2020
J,06/05/2020
ACN,19/03/2020
BFAM,06/05/2020
FAF,23/04/2020
GTES,05/05/2020
JCI,01/05/2020
MTG,07/05/2020
SMG,06/05/2020
AVY,29/04/2020
BRO,27/04/2020
THG,28/04/2020
CDNS,20/04/2020
CNP,07/05/2020
BERY,01/05/2020
QCOM,29/04/2020
HUM,29/04/2020
CMS,27/04/2020
HON,01/05/2020
PXD,06/05/2020
WRK,05/05/2020
LYB,01/05/2020
BDX,07/05/2020
VRSN,23/04/2020
SON,16/04/2020
FFIV,27/04/2020
FICO,29/04/2020
CPA,06/05/2020
HRC,01/05/2020
BAX,30/04/2020
MAN,21/04/2020
MIDD,07/05/2020
MO,30/04/2020
ARES,06/05/2020
GO,11/05/2020
HOG,28/04/2020
EV,20/05/2020
PFE,28/04/2020
AMGN,30/04/2020
SJM,04/06/2020
ANET,05/05/2020
COHR,27/05/2020
LLY,23/04/2020
ICUI,07/05/2020
MSCI,28/04/2020
CAH,11/05/2020
DGX,22/04/2020
INTC,23/04/2020
AVTR,29/04/2020
FIVN,04/05/2020
JNJ,14/04/2020
ALL,05/05/2020
ACHC,04/05/2020
CHNG,03/06/2020
LSXMK,07/05/2020
WLK,04/05/2020
UI,08/05/2020
ALLE,23/04/2020
ALNY,06/05/2020
MUR,06/05/2020
MSA,29/04/2020
STWD,04/05/2020
VMC,06/05/2020
SABR,08/05/2020
